symbol,publishdate(min),nav_cur4
000134,20171011,1.1344
000134,20171012,1.01
000134,20171013,1.0915
000134,20171015,2.2443
000134,20171016,1.0267
000134,20171017,1.0827
000134,20171018,1.0562
000134,20171019,1.0854
000134,20171020,1.0863
000134,20171022,2.173
000134,20171023,1.0822
000134,20171024,1.0805
000134,20171025,1.1008
000134,20171026,1.2044
000134,20171027,1.0711
000134,20171029,2.1426
000134,20171030,1.0714
000134,20171031,1.0655
000134,20171101,1.0715
000134,20171102,1.08
000134,20171103,1.0724
000134,20171105,2.1333
000134,20171106,1.0587
000134,20171107,1.0746
000134,20171108,1.0723
000134,20171109,1.048
000134,20171110,1.4512
000134,20171112,2.1112
000134,20171113,1.0587
000134,20171114,1.0808
000134,20171115,1.0856
000134,20171116,1.0887
000134,20171117,1.0903
000134,20171119,2.181
000134,20171120,1.0849
000135,20170702,2.5386
000135,20170703,1.2683
000135,20170704,1.2679
000135,20170705,1.253
000135,20170706,1.2379
000135,20170707,1.2384
000135,20170709,2.4769
000135,20170710,1.2034
000135,20170711,1.1783
000135,20170712,1.1955
000135,20170713,1.1972
000135,20170714,1.205
000135,20170716,2.4142
000135,20170717,1.1784
000135,20170718,1.8611
000135,20170719,1.6287
000135,20170720,0.9709
000135,20170721,1.1113
000135,20170723,2.1855
000135,20170724,1.0522
000135,20170725,1.1702
000135,20170726,1.192
000135,20170727,1.3624
000135,20170728,1.16
000135,20170730,2.3233
000135,20170731,1.3615
000135,20170801,1.1249
000135,20170802,1.5578
000135,20170803,1.1195
000135,20170804,1.1464
000135,20170806,2.2939
000135,20170807,1.5377
000135,20170808,1.1189
000135,20170809,1.1274
000135,20170810,1.1305
000135,20170811,1.1346
000135,20170813,2.2695
000135,20170814,1.4225
000135,20170815,1.135
000135,20170816,1.1894
000135,20170817,1.1513
000135,20170818,1.12
000135,20170820,2.2439
000135,20170821,1.4711
000135,20170822,1.1376
000135,20170823,1.1373
000135,20170824,1.1362
000135,20170825,1.1114
000135,20170827,2.2259
000135,20170828,1.1079
000135,20170829,1.1197
000135,20170830,1.1197
000135,20170831,1.1206
000135,20170901,1.1204
000135,20170903,2.2411
000135,20170904,1.2222
000135,20170905,0.9717
000135,20170906,1.0449
000135,20170907,0.9914
000135,20170908,1.5518
000135,20170910,2.0853
000135,20170911,1.0752
000135,20170912,1.076
000135,20170913,1.0526
000135,20170914,1.0318
