用户序号,日期,基金代码,基金名称,配置比例
39,2017-07-01,000929,博时黄金ETF D,0.146 
39,2017-10-26,050002,博时裕富沪深300A,0.618 
39,2017-10-26,050011,博时信用债券A,0.236 
39,2017-10-26,000929,博时黄金ETF D,0.146 
40,2017-07-01,001826,国寿安保增金宝,1
41,2017-07-01,001826,国寿安保增金宝,1
41,2017-11-25,001826,国寿安保增金宝,1
42,2017-07-01,050002,博时裕富沪深300A,0.223 
42,2017-07-01,050011,博时信用债券A,0.470 
42,2017-07-01,000929,博时黄金ETF D,0.307 
42,2017-07-07,050002,博时裕富沪深300A,0.208 
42,2017-07-07,050011,博时信用债券A,0.406 
