用户,日期,基金代码,基金名称,配置比例
42,2017-07-01,162607,景顺长城资源垄断混合LOF,0.012
42,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0427
42,2017-08-18,110031,易方达恒生国企联接QDII,0.1409
43,2017-07-01,050025,博时标普500ETF联接QDII,0.3813
43,2017-08-18,050025,博时标普500ETF联接QDII,0.3446
43,2017-07-01,160127,南方新兴消费增长分级股票,0.1602
43,2017-08-18,160127,南方新兴消费增长分级股票,0.2031
43,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.2851
43,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.1437
43,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0297
43,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0861
43,2017-08-18,000307,易方达黄金ETF联接A,0.1002
43,2017-08-18,110031,易方达恒生国企联接QDII,0.2661
44,2017-07-01,050025,博时标普500ETF联接QDII,0.3812
44,2017-08-18,050025,博时标普500ETF联接QDII,0.3446
44,2017-07-01,160127,南方新兴消费增长分级股票,0.1601
44,2017-08-18,160127,南方新兴消费增长分级股票,0.2031
44,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.2853
44,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.1437
44,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0297
44,2017-08-18,162607,景顺长城资源垄断混合LOF,0.086
44,2017-08-18,000307,易方达黄金ETF联接A,0.1002
44,2017-08-18,110031,易方达恒生国企联接QDII,0.2662
45,2017-07-01,050025,博时标普500ETF联接QDII,0.3813
45,2017-08-18,050025,博时标普500ETF联接QDII,0.3449
45,2017-07-01,160127,南方新兴消费增长分级股票,0.0801
45,2017-08-18,160127,南方新兴消费增长分级股票,0.0928
45,2017-07-01,160717,嘉实恒生中国企业QDII-LOF,0.2853
45,2017-07-01,160719,嘉实黄金QDII-FOF-LOF,0.1437
45,2017-07-01,162607,景顺长城资源垄断混合LOF,0.0297
45,2017-08-18,162607,景顺长城资源垄断混合LOF,0.0861
45,2017-07-01,260116,景顺长城核心竞争力混合A,0.08
45,2017-08-18,000307,易方达黄金ETF联接A,0.1003
45,2017-08-18,110031,易方达恒生国企联接QDII,0.2665
45,2017-08-18,202021,南方小康ETF联接A,0.1095
46,2017-07-01,070008,嘉实货币A,1
47,2017-07-01,050025,博时标普500ETF联接QDII,0.258
