data_dt,entrydate(min),entrytime,icode,indexcap_id,mcap,tcap,tdate
20080618,20080618 00:00,21:00:13,000001,16982,452515615.5,1553827147,20080618
20161116,20161116 00:00,21:00:34,399004,34050,452533148.7,546893815.2,20161116
20151225,20151225 00:00,21:00:43,399004,32250,452652373.7,550625660.5,20151225
20140729,20140729 00:00,21:01:02,399106,29394,452772318.3,572658710.2,20140729
20170309,20170309 00:00,21:00:39,399004,34678,452799070.4,539205344,20170309
20080423,20080423 00:00,21:00:18,000300,16685,453103711.8,1620957174,20080423
20161207,20161207 00:00,21:00:23,399004,34170,453198049.8,544764348.3,20161207
20090319,20090319 00:00,21:00:06,000002,18489,453280235.2,1288526116,20090319
20080723,20080723 00:00,21:00:12,000001,17190,453513261.6,1499727289,20080723
20080714,20080714 00:00,21:00:27,000002,17136,453730622.3,1514089943,20080714
20161122,20161122 00:00,21:00:21,399004,34082,453821567.7,547408252,20161122
20170301,20170301 00:00,21:01:05,399004,34622,453840830.3,541267161.8,20170301
20090806,20090806 00:00,21:00:12,000016,19276,453966621,1326502283,20090806
20090216,20090216 00:00,21:00:05,000002,18305,453968663.3,1357310776,20090216
20080626,20080626 00:00,21:00:12,000001,17030,454173418.8,1532709552,20080626
20170220,20170220 00:00,21:00:55,399004,34566,454297982.9,541406133.6,20170220
20090330,20090330 00:00,21:00:24,000300,18549,454380377.1,1289386397,20090330
20080730,20080730 00:00,21:00:14,000001,17230,454392308.3,1499218054,20080730
20080416,20080416 00:00,21:00:14,000300,16645,454407644,1623297561,20080416
20090327,20090327 00:00,21:00:17,000300,18541,454619885.3,1311211468,20090327
20170224,20170224 00:00,21:00:43,399004,34598,454893444.1,541981606.4,20170224
20070809,20070809 00:00,21:00:11,000002,15244,455084570.3,1624787881,20070809
20080725,20080725 00:00,21:00:15,000002,17208,455134960.3,1507115783,20080725
20170310,20170310 00:00,21:00:35,399004,34686,455149813.3,541652931,20170310
20080722,20080722 00:00,21:00:14,000001,17182,455470639.5,1504088248,20080722
20090625,20090625 00:00,21:00:07,000010,19035,455490437.9,1403380315,20090625
20150506,20150506 00:00,21:00:31,399004,30946,455511889.8,534590835.8,20150506
20140730,20140730 00:00,21:00:28,399106,29402,455639273.9,576153725.9,20140730
20140801,20140801 00:00,21:00:08,399106,29418,455653943.2,576434666.9,20140801
20090408,20090408 00:00,21:00:07,000300,18601,455656459.5,1286065695,20090408
20170515,20170515 00:00,21:03:30,399004,35046,455705150.3,530979923.8,20170515
20161123,20161123 00:00,21:00:22,399004,34090,455748138.7,549237166.3,20161123
20090325,20090325 00:00,21:00:07,000002,18521,455912189.6,1301593591,20090325
20090624,20090624 00:00,21:00:08,000010,19027,455914653.3,1400864819,20090624
20170223,20170223 00:00,21:00:51,399004,34590,455922919.4,542765972.7,20170223
20080711,20080711 00:00,21:00:12,000001,17126,455948699,1509785169,20080711
20150812,20150812 00:00,21:00:22,399004,31502,456002325.9,542749694.1,20150812
20151221,20151221 00:00,21:00:29,399004,32218,456108747.8,553938902.2,20151221
20080418,20080418 00:00,21:00:11,000002,16656,456119170.1,1615171588,20080418
20151223,20151223 00:00,21:00:26,399004,32234,456239345.8,555046207.3,20151223
20170308,20170308 00:00,21:01:15,399004,34670,456326553.6,543518267.7,20170308
20080721,20080721 00:00,21:00:22,000001,17174,456371420.3,1512174675,20080721
20140804,20140804 00:00,21:01:38,399107,29428,456490969.4,577090157.5,20140804
20090626,20090626 00:00,21:00:08,000010,19043,456621449.1,1405630156,20090626
20080109,20080109 00:00,21:00:44,000010,16103,456733934.5,2240137042,20080109
20170221,20170221 00:00,21:01:12,399004,34574,456828962.2,544339655.8,20170221
20090320,20090320 00:00,21:00:06,000001,18495,457012260.2,1301045411,20090320
20080612,20080612 00:00,21:00:18,000002,16952,457151252.9,1554752941,20080612
20170505,20170505 00:00,21:03:45,399004,34998,457203314.4,534973163.4,20170505
20080729,20080729 00:00,21:00:13,000001,17222,457229021.9,1506407284,20080729
20080709,20080709 00:00,21:00:26,000002,17112,457261915.3,1536326079,20080709
20170306,20170306 00:00,21:00:39,399004,34654,457318138.4,544855833.1,20170306
20161124,20161124 00:00,21:00:23,399004,34098,457339004.7,551330662.7,20161124
20080421,20080421 00:00,21:00:19,000002,16664,457564125.1,1626795208,20080421
20070816,20070816 00:00,21:01:46,000002,15284,457642589.2,1629278380,20070816
20170330,20170330 00:00,21:00:41,399004,34798,457680968.2,543027145.6,20170330
20070808,20070808 00:00,21:00:08,000001,15234,457930196.6,1604308653,20070808
20080710,20080710 00:00,21:00:26,000001,17118,458008973.7,1519743930,20080710
20170222,20170222 00:00,21:00:40,399004,34582,458028126.4,545477423.4,20170222
20090319,20090319 00:00,21:00:05,000001,18487,458260679.3,1293382060,20090319
20140807,20140807 00:00,21:01:20,399107,29452,458265653,579004253.1,20140807
20150629,20150629 00:00,21:01:06,399004,31246,458273607,532894689,20150629
20170317,20170317 00:00,21:00:32,399004,34726,458547154,545362514.4,20170317
20170320,20170320 00:00,21:00:34,399004,34734,458550768.9,544904556,20170320
20150505,20150505 00:00,21:00:47,399004,30938,458659436.6,538622354.6,20150505
20170523,20170523 00:00,21:03:31,399004,35094,458683622.2,533461849.6,20170523
20170307,20170307 00:00,21:00:33,399004,34662,458783838.6,546447420.3,20170307
20090216,20090216 00:00,21:00:04,000001,18303,458916107,1362147120,20090216
20090331,20090331 00:00,21:00:23,000300,18557,458974319,1297380740,20090331
20170518,20170518 00:00,21:03:28,399004,35070,459252089.5,535638776,20170518
20150714,20150714 00:00,21:01:05,399004,31334,459369134.7,548441149.2,20150714
20151222,20151222 00:00,21:01:06,399004,32226,459420049.3,558220647,20151222
20080728,20080728 00:00,21:00:18,000002,17216,459504889.3,1527124038,20080728
